"","Date","Month","Year","Site.Name","COUNTY","lat_mean","lon_mean","PM2.5","Ozone"
"133",2020-01-11,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,43.3333333333333,NA
"134",2020-01-11,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,22.5,NA
"135",2020-01-11,1,2020,"Linville Falls","Avery",35.972347,-81.933072,3,NA
"136",2020-01-11,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,40,NA
"137",2020-01-11,1,2020,"Millbrook School","Wake",35.856111,-78.574167,31.25,27
"138",2020-01-11,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,24.6666666666667,NA
"139",2020-01-11,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,38.5,29
"140",2020-01-12,1,2020,"Bryson City","Swain",35.434767,-83.442133,28.5,NA
"141",2020-01-12,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,9,NA
"142",2020-01-12,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,40,NA
"143",2020-01-12,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,31.3333333333333,NA
"144",2020-01-12,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,13,37
"145",2020-01-12,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,36.75,30
"146",2020-01-12,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,42,NA
"147",2020-01-12,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,12.5,NA
"148",2020-01-12,1,2020,"Linville Falls","Avery",35.972347,-81.933072,26,NA
"149",2020-01-12,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,27.5,NA
"150",2020-01-12,1,2020,"Millbrook School","Wake",35.856111,-78.574167,33,32
"151",2020-01-12,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18.3333333333333,NA
"152",2020-01-12,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,24,30
"153",2020-01-13,1,2020,"Bryson City","Swain",35.434767,-83.442133,17,NA
"154",2020-01-13,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,6.5,NA
"155",2020-01-13,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,14.5,NA
"156",2020-01-13,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,24,NA
"157",2020-01-13,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,36
"158",2020-01-13,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,15,27.5
"159",2020-01-13,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,13.5,NA
"160",2020-01-13,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,1.5,NA
"161",2020-01-13,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,8.5,NA
"162",2020-01-13,1,2020,"Millbrook School","Wake",35.856111,-78.574167,20.3333333333333,30.5
"163",2020-01-13,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5.5,NA
"164",2020-01-13,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,8,29
"165",2020-01-14,1,2020,"Bryson City","Swain",35.434767,-83.442133,18,NA
"166",2020-01-14,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
"167",2020-01-14,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,29.5,NA
"168",2020-01-14,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,28,NA
"169",2020-01-14,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,6,28
"170",2020-01-14,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,25.25,25.5
"171",2020-01-14,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,24.75,NA
"172",2020-01-14,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,15.5,NA
"173",2020-01-14,1,2020,"Linville Falls","Avery",35.972347,-81.933072,10,NA
"174",2020-01-14,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,21.5,NA
"175",2020-01-14,1,2020,"Millbrook School","Wake",35.856111,-78.574167,33.25,29
"176",2020-01-14,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,19.6666666666667,NA
"177",2020-01-14,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,21.5,29
"178",2020-01-15,1,2020,"Bryson City","Swain",35.434767,-83.442133,28,NA
"179",2020-01-15,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,25,NA
"180",2020-01-15,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,36.3333333333333,NA
"181",2020-01-15,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,48,NA
"182",2020-01-15,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,4,44
"183",2020-01-15,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,24.5
"184",2020-01-15,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,39,NA
"185",2020-01-15,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,24,NA
"186",2020-01-15,1,2020,"Linville Falls","Avery",35.972347,-81.933072,11,NA
"187",2020-01-15,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,35,NA
"188",2020-01-15,1,2020,"Millbrook School","Wake",35.856111,-78.574167,47.75,22
"189",2020-01-15,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,37.3333333333333,NA
"190",2020-01-15,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,37.5,23
"191",2020-01-16,1,2020,"Bryson City","Swain",35.434767,-83.442133,39.5,NA
"192",2020-01-16,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,24.5,NA
"193",2020-01-16,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,55,NA
"194",2020-01-16,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,57,NA
"195",2020-01-16,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,44
"196",2020-01-16,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,45.6666666666667,27.5
"197",2020-01-16,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,53,NA
"198",2020-01-16,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,29.5,NA
"199",2020-01-16,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,50.5,NA
"200",2020-01-16,1,2020,"Millbrook School","Wake",35.856111,-78.574167,57,25.5
"201",2020-01-16,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,44.5,NA
"202",2020-01-16,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,47.5,31
"203",2020-01-17,1,2020,"Bryson City","Swain",35.434767,-83.442133,44,NA
"204",2020-01-17,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,27,NA
"205",2020-01-17,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,51,NA
"206",2020-01-17,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,52,NA
"207",2020-01-17,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,15,40
"208",2020-01-17,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,37.75,24
"209",2020-01-17,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,45,NA
"210",2020-01-17,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,29.5,NA
"211",2020-01-17,1,2020,"Linville Falls","Avery",35.972347,-81.933072,19,NA
"212",2020-01-17,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,43.5,NA
"213",2020-01-17,1,2020,"Millbrook School","Wake",35.856111,-78.574167,51,27
"214",2020-01-17,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,42,NA
"215",2020-01-17,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,50.5,26
"216",2020-01-18,1,2020,"Bryson City","Swain",35.434767,-83.442133,39.5,NA
"217",2020-01-18,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,29,NA
"218",2020-01-18,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,52,NA
"219",2020-01-18,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,44,NA
"220",2020-01-18,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,4,31
